task_id,executability,validity,correctness,correctness_scale,correctness_normalized,strategic_success,strategic_success_scale,strategic_success_normalized
reg_01_toxicophore,1.0,1.0,0.6871,1.0,0.6871,0.0,1.0,0.0
reg_02_herg,1.0,1.0,0.8909820126397666,1.0,0.8909820126397666,0.0,1.0,0.0
reg_03_pains,1.0,1.0,0.9928400954653938,1.0,0.9928400954653938,0.0,1.0,0.0
reg_03_pains_v1,1.0,1.0,0.8277,1.0,0.8277,0.8212,1.0,0.8212
reg_04_metabolic_softspot,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
reg_05_cyanide_trap,1.0,1.0,100.0,100.0,1.0,100.0,100.0,1.0
